Kanton;Schuljahr;Stufe;Typ;Geschlecht;Land;Anzahl
tg;2007/2008;Sekundarstufe II;Fachmittelschulen;weiblich;Italien;3
tg;2007/2008;Sekundarstufe II;Gymnasium;männlich;Australien;1
tg;2007/2008;Sekundarstufe II;Gymnasium;weiblich;Nordamerika;2
tg;2007/2008;Sekundarstufe II;Gymnasium;weiblich;Bosnien-Herzegowina;3
tg;2007/2008;Sekundarstufe II;Gymnasium;männlich;Österreich;3
tg;2007/2008;Sekundarstufe I;Gymnasium;weiblich;Deutschland;7
tg;2007/2008;Sekundarstufe II;Gymnasium;weiblich;Türkei;8
tg;2007/2008;Sekundarstufe II;Fachmittelschulen;weiblich;Süd-/Osteuropa;2
tg;2007/2008;Sekundarstufe II;Gymnasium;weiblich;Serbien;2
tg;2007/2008;Sekundarstufe II;Fachmittelschulen;weiblich;Nordamerika;2
tg;2007/2008;Sekundarstufe II;Gymnasium;weiblich;Süd-/Osteuropa;6
tg;2007/2008;Sekundarstufe I;Gymnasium;weiblich;Italien;1
tg;2007/2008;Sekundarstufe II;Gymnasium;weiblich;Deutschland;23
tg;2007/2008;Sekundarstufe II;Gymnasium;männlich;Irak;1
tg;2007/2008;Sekundarstufe II;Fachmittelschulen;weiblich;Deutschland;5
tg;2007/2008;Sekundarstufe I;Gymnasium;männlich;Türkei;1
tg;2007/2008;Sekundarstufe II;Gymnasium;weiblich;Italien;10
tg;2007/2008;Sekundarstufe II;Gymnasium;männlich;Frankreich;1
tg;2007/2008;Sekundarstufe II;Gymnasium;männlich;Portugal;3
tg;2007/2008;Sekundarstufe I;Gymnasium;männlich;Österreich;1
tg;2007/2008;Sekundarstufe II;Handelsmittelschulen;männlich;Schweiz;38
tg;2007/2008;Sekundarstufe II;Gymnasium;männlich;Nordmazedonien;9
tg;2007/2008;Sekundarstufe II;Handelsmittelschulen;männlich;Portugal;1
tg;2007/2008;Sekundarstufe II;Gymnasium;männlich;Nord-/Westeuropa;5
tg;2007/2008;Sekundarstufe II;Fachmittelschulen;männlich;Schweiz;23
tg;2007/2008;Sekundarstufe II;Gymnasium;männlich;Afrika;1
tg;2007/2008;Sekundarstufe II;Gymnasium;weiblich;Portugal;6
